episode,reward,steps,epsilon,event,win_rate,food_eaten,completion_rate,elapsed_sec,q_states
91,-129.9,143,0.986442,caught,0.0,5,0.080645,1.051,6129
92,-109.96,75,0.986294,caught,0.0,8,0.129032,1.065,6192
93,-126.24,66,0.986146,caught,0.0,5,0.080645,1.076,6251
94,-160.8,61,0.985998,caught,0.0,2,0.032258,1.084,6294
95,-10.14,136,0.98585,caught,0.0,15,0.241935,1.101,6420
96,-105.06,69,0.985702,caught,0.0,7,0.112903,1.11,6483
97,-155.54,70,0.985554,caught,0.0,3,0.048387,1.12,6542
98,-170.63,69,0.985406,caught,0.0,2,0.032258,1.129,6584
99,-142.96,72,0.985259,caught,0.0,4,0.064516,1.139,6648
100,-123.02,73,0.985111,caught,0.0,6,0.096774,1.15,6709
101,-97.3,68,0.984963,caught,0.0,8,0.129032,1.16,6770
102,-131.47,73,0.984815,caught,0.0,5,0.080645,1.172,6837
103,-173.3,63,0.984668,caught,0.0,1,0.016129,1.182,6880
104,-143.07,79,0.98452,caught,0.0,4,0.064516,1.194,6944
105,-107.61,68,0.984372,caught,0.0,7,0.112903,1.203,6999
106,-126.72,59,0.984225,caught,0.0,4,0.064516,1.211,7050
107,-158.71,76,0.984077,caught,0.0,3,0.048387,1.223,7114
108,-115.27,71,0.983929,caught,0.0,6,0.096774,1.233,7174
109,-146.24,66,0.983782,caught,0.0,4,0.064516,1.243,7212
110,-54.73,121,0.983634,caught,0.0,11,0.177419,1.257,7323
111,-140.33,69,0.983487,caught,0.0,4,0.064516,1.267,7387
112,-134.15,79,0.983339,caught,0.0,5,0.080645,1.28,7451
113,-128.66,74,0.983192,caught,0.0,5,0.080645,1.292,7514
114,-120.31,58,0.983044,caught,0.0,5,0.080645,1.3,7559
115,-78.79,61,0.982897,caught,0.0,9,0.145161,1.308,7611
116,26.32,130,0.982749,caught,0.0,9,0.145161,1.324,7721
117,-146.93,77,0.982602,caught,0.0,4,0.064516,1.335,7793
118,-35.83,142,0.982454,caught,0.0,12,0.193548,1.352,7925
119,-115.88,73,0.982307,caught,0.0,6,0.096774,1.362,7988
120,-138.38,72,0.98216,caught,0.0,5,0.080645,1.373,8039
121,-138.08,77,0.982012,caught,0.0,5,0.080645,1.386,8105
122,-174.33,69,0.981865,caught,0.0,1,0.016129,1.396,8147
123,-180.69,60,0.981718,caught,0.0,1,0.016129,1.405,8188
124,-104.96,75,0.981571,caught,0.0,7,0.112903,1.415,8253
125,-149.63,56,0.981423,caught,0.0,3,0.048387,1.422,8292
126,-148.42,57,0.981276,caught,0.0,3,0.048387,1.43,8335
127,-111.67,50,0.981129,caught,0.0,6,0.096774,1.437,8373
128,-83.32,60,0.980982,caught,0.0,9,0.145161,1.444,8416
129,-167.41,68,0.980835,caught,0.0,2,0.032258,1.454,8454
130,-139.31,54,0.980687,caught,0.0,4,0.064516,1.461,8495
131,-116.04,78,0.98054,caught,0.0,7,0.112903,1.472,8562
132,-130.51,70,0.980393,caught,0.0,6,0.096774,1.482,8617
133,-145.78,78,0.980246,caught,0.0,4,0.064516,1.494,8676
134,-138.87,60,0.980099,caught,0.0,4,0.064516,1.503,8719
135,-110.08,65,0.979952,caught,0.0,7,0.112903,1.512,8766
136,-145.94,63,0.979805,caught,0.0,4,0.064516,1.521,8818
137,-116.77,67,0.979658,caught,0.0,6,0.096774,1.531,8880
138,-132.73,61,0.979511,caught,0.0,5,0.080645,1.54,8932
139,-13.48,103,0.979364,caught,0.0,13,0.209677,1.551,9028
140,-18.8,136,0.979217,caught,0.0,13,0.209677,1.568,9153
141,-144.44,71,0.979071,caught,0.0,4,0.064516,1.578,9205
142,-56.42,97,0.978924,caught,0.0,9,0.145161,1.593,9295
143,-142.42,70,0.978777,caught,0.0,4,0.064516,1.603,9345
144,-139.89,76,0.97863,caught,0.0,5,0.080645,1.614,9398
145,-136.55,69,0.978483,caught,0.0,4,0.064516,1.624,9451
146,-146.14,66,0.978336,caught,0.0,3,0.048387,1.633,9504
147,-168.2,78,0.97819,caught,0.0,2,0.032258,1.645,9557
148,-178.66,69,0.978043,caught,0.0,1,0.016129,1.655,9607
149,-112.7,63,0.977896,caught,0.0,6,0.096774,1.664,9654
150,-111.59,71,0.97775,caught,0.0,7,0.112903,1.674,9713
151,-132.46,72,0.977603,caught,0.0,5,0.080645,1.684,9773
152,13.45,125,0.977456,caught,0.0,16,0.258065,1.701,9895
153,-137.36,61,0.97731,caught,0.0,4,0.064516,1.71,9942
154,-87.54,58,0.977163,caught,0.0,9,0.145161,1.718,9990
155,-179.87,63,0.977016,caught,0.0,0,0.0,1.727,10033
156,-149.6,57,0.97687,caught,0.0,3,0.048387,1.735,10073
157,-99.76,64,0.976723,caught,0.0,7,0.112903,1.744,10131
158,-15.52,98,0.976577,caught,0.0,13,0.209677,1.755,10217
159,-148.11,68,0.97643,caught,0.0,3,0.048387,1.765,10273
160,-118.69,70,0.976284,caught,0.0,7,0.112903,1.775,10332
161,-152.88,62,0.976138,caught,0.0,3,0.048387,1.784,10384
162,222.59,181,0.975991,caught,0.0,25,0.403226,1.806,10555
163,-119.07,66,0.975845,caught,0.0,6,0.096774,1.815,10615
164,-108.11,64,0.975698,caught,0.0,7,0.112903,1.823,10663
165,-118.66,107,0.975552,caught,0.0,4,0.064516,1.837,10750
166,-74.27,134,0.975406,caught,0.0,10,0.16129,1.854,10872
167,-133.01,62,0.975259,caught,0.0,5,0.080645,1.863,10924
168,-121.7,70,0.975113,caught,0.0,6,0.096774,1.874,10988
169,-66.1,119,0.974967,caught,0.0,10,0.16129,1.888,11096
170,-145.88,63,0.974821,caught,0.0,4,0.064516,1.896,11133
171,-140.49,57,0.974674,caught,0.0,4,0.064516,1.905,11172
172,-131.12,75,0.974528,caught,0.0,5,0.080645,1.917,11237
173,-46.81,145,0.974382,caught,0.0,12,0.193548,1.934,11367
174,-145.04,74,0.974236,caught,0.0,4,0.064516,1.945,11427
175,-128.4,71,0.97409,caught,0.0,5,0.080645,1.956,11490
176,-118.88,53,0.973944,caught,0.0,5,0.080645,1.963,11531
177,-85.59,72,0.973797,caught,0.0,9,0.145161,1.973,11593
178,28.76,110,0.973651,caught,0.0,17,0.274194,1.986,11686
179,-7.15,95,0.973505,caught,0.0,13,0.209677,1.997,11774
180,-153.21,70,0.973359,caught,0.0,3,0.048387,2.007,11822
181,-132.52,72,0.973213,caught,0.0,5,0.080645,2.02,11872
182,-174.8,58,0.973067,caught,0.0,1,0.016129,2.028,11908
183,-175.05,76,0.972921,caught,0.0,1,0.016129,2.04,11963
